ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1654125964.512614,0,,0,0,0,7417,149013,40599,36389,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654125964.512614,14699,postgres,0,213,11,3002,36820,133990,16902,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654125964.512614,16384,dbt3,4,16320,77,664641331,645559691,19016435803,452790341,486266318,2990,520031,0,60592,176946658220,0,,,0,0,27896586.116,28019105.561,3891.044,4975,0,0,3,2022-05-31 22:46:51.108916+00
1654125964.512614,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125964.512614,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654126024.546144,0,,0,0,0,7560,152338,41450,37212,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654126024.546144,14699,postgres,0,215,11,3071,38152,135961,17567,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654126024.546144,16384,dbt3,13,16682,77,672846262,656284730,19431379028,453754304,486356681,3008,595145,0,61870,180576138036,0,,,0,0,28060363.841,28182783.564,4064.704,5094,0,0,3,2022-05-31 22:46:51.108916+00
1654126024.546144,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654126024.546144,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654126084.576668,0,,0,0,0,7666,152962,41650,37384,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654126084.576668,14699,postgres,0,217,11,3103,38203,137202,17581,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654126084.576668,16384,dbt3,14,16762,77,676094282,657837564,19584957323,454165553,486446533,3013,669889,0,62920,181944095540,0,,,0,0,28135360.507,28257545.71,4083.829,5117,0,0,3,2022-05-31 22:46:51.108916+00
1654126084.576668,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654126084.576668,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654126144.584020,0,,0,0,0,7791,154074,41970,37676,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654126144.584020,14699,postgres,0,219,11,3135,38254,138443,17595,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654126144.584020,16384,dbt3,12,16922,77,690496093,672509633,20074312143,461063406,486536225,3025,744444,0,63765,185438952215,0,,,0,0,28467869.051,28590122.298,4116.009,5150,0,0,3,2022-05-31 22:46:51.108916+00
1654126144.584020,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654126144.584020,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654126204.593259,0,,0,0,0,7952,155542,42389,38063,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654126204.593259,14699,postgres,0,221,11,3167,38305,139684,17609,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
