ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1653668734.264920,,0,0,0,14204,225445,61616,56066,1,0,0
1653668734.264920,postgres,0,305,14,4034,47165,191364,21196,0,0,0
1653668734.264920,dbt3,2,20181,68,1188670472,1366771093,29825899799,1128688928,750857497,4331,1082904
1653668734.264920,template1,0,0,0,0,0,0,0,0,0,0
1653668734.264920,template0,0,0,0,0,0,0,0,0,0,0
1653668794.306229,,0,0,0,14366,228342,62356,56778,1,0,0
1653668794.306229,postgres,0,307,14,4103,48497,193335,21861,0,0,0
1653668794.306229,dbt3,10,20384,125,1195711209,1377548635,30180804964,1129610841,750947856,4347,1157973
1653668794.306229,template1,0,0,0,0,0,0,0,0,0,0
1653668794.306229,template0,0,0,0,0,0,0,0,0,0,0
1653668854.328590,,0,0,0,14475,229059,62578,56972,1,0,0
1653668854.328590,postgres,0,309,14,4135,48548,194576,21875,0,0,0
1653668854.328590,dbt3,15,20450,125,1200103773,1379196175,30394436317,1130028203,751037708,4354,1232717
1653668854.328590,template1,0,0,0,0,0,0,0,0,0,0
1653668854.328590,template0,0,0,0,0,0,0,0,0,0,0
1653668914.362992,,0,0,0,14568,229560,62746,57112,1,0,0
1653668914.362992,postgres,0,311,14,4167,48599,195817,21889,0,0,0
1653668914.362992,dbt3,10,20497,125,1207841371,1402303690,30611577528,1137468875,751127379,4359,1307257
1653668914.362992,template1,0,0,0,0,0,0,0,0,0,0
1653668914.362992,template0,0,0,0,0,0,0,0,0,0,0
1653668974.366853,,0,0,0,14740,230522,63058,57380,1,0,0
1653668974.366853,postgres,0,313,14,4199,48650,197058,21903,0,0,0
1653668974.366853,dbt3,11,20588,125,1217192141,1403708351,31023732627,1140226059,751127402,4368,1307272
1653668974.366853,template1,0,0,0,0,0,0,0,0,0,0
1653668974.366853,template0,0,0,0,0,0,0,0,0,0,0
1653669034.357280,,0,0,0,14846,231746,63390,57696,1,0,0
1653669034.357280,postgres,0,315,14,4231,48701,198299,21917,0,0,0
1653669034.357280,dbt3,13,20698,125,1224060329,1407203844,31519552452,1142577848,751127412,4389,1307272
1653669034.357280,template1,0,0,0,0,0,0,0,0,0,0
1653669034.357280,template0,0,0,0,0,0,0,0,0,0,0
1653669094.377774,,0,0,0,14964,232319,63581,57859,1,0,0
1653669094.377774,postgres,0,317,14,4263,48752,199540,21931,0,0,0
1653669094.377774,dbt3,14,20752,125,1235834294,1428327388,31812390905,1149112788,751127431,4394,1307287
1653669094.377774,template1,0,0,0,0,0,0,0,0,0,0
1653669094.377774,template0,0,0,0,0,0,0,0,0,0,0
1653669154.459303,,0,0,0,15150,233140,63847,58097,1,0,0
1653669154.459303,postgres,0,319,14,4295,48803,200781,21945,0,0,0
1653669154.459303,dbt3,8,20832,125,1269865039,1442042990,32045345173,1181895146,751127453,4402,1307302
1653669154.459303,template1,0,0,0,0,0,0,0,0,0,0
1653669154.459303,template0,0,0,0,0,0,0,0,0,0,0
1653669214.401461,,0,0,0,15336,233959,64114,58336,1,0,0
1653669214.401461,postgres,0,321,14,4327,48854,202022,21959,0,0,0
1653669214.401461,dbt3,12,20910,125,1273668498,1450511698,32362496105,1185146076,751127460,4409,1307302
1653669214.401461,template1,0,0,0,0,0,0,0,0,0,0
1653669214.401461,template0,0,0,0,0,0,0,0,0,0,0
1653669274.431023,,0,0,0,15481,234618,64335,58529,1,0,0
1653669274.431023,postgres,0,323,14,4359,48905,203263,21973,0,0,0
1653669274.431023,dbt3,9,20976,125,1296353791,1469689867,32471894677,1203987431,751127465,4414,1307302
1653669274.431023,template1,0,0,0,0,0,0,0,0,0,0
1653669274.431023,template0,0,0,0,0,0,0,0,0,0,0
1653669334.407213,,0,0,0,15567,235571,64611,58777,1,0,0
1653669334.407213,postgres,0,325,14,4391,48956,204504,21987,0,0,0
1653669334.407213,dbt3,5,21062,125,1302234196,1480336903,32747633910,1205293061,751127471,4427,1307302
1653669334.407213,template1,0,0,0,0,0,0,0,0,0,0
1653669334.407213,template0,0,0,0,0,0,0,0,0,0,0
