ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1653527738.991935,pg_catalog,pg_transform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_catalog,pg_am,14784,14784,0,0,0,0,0,0,0,0,576,14208,0,0,,,,
1653527738.991935,public,orders,28,180120000,5012628,15102643,15015000,0,749,0,15013570,749,18244268,4967609,2848056,12361635,0,0,1,0
1653527738.991935,pg_catalog,pg_init_privs,0,0,1008,0,0,0,0,0,0,0,0,0,160,1024,0,0,0,0
1653527738.991935,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527738.991935,pg_toast,pg_toast_2619,0,0,749,1295,198,0,185,0,29,14,406,1149,388,1034,,,,
1653527738.991935,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527738.991935,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_catalog,pg_authid,213,1214,13086,13086,0,0,0,0,0,0,566,12733,2705,23467,0,0,0,0
1653527738.991935,pg_catalog,pg_subscription_rel,224,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_catalog,pg_shdepend,0,0,1210,201,0,0,0,0,0,0,80,121,320,1254,,,,
1653527738.991935,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_catalog,pg_namespace,236,3056,14736,10247,14,0,0,0,14,0,741,10432,2304,20525,0,0,0,0
1653527738.991935,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527738.991935,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527738.991935,pg_catalog,pg_seclabel,0,0,1008,0,0,0,0,0,0,0,0,0,79,1937,0,0,0,0
1653527738.991935,pg_catalog,pg_description,0,0,1008,0,0,0,0,0,0,0,0,0,240,1952,0,0,0,0
1653527738.991935,public,region,6172,30860,20,0,5,0,0,0,5,0,12,6190,10,19,,,,
1653527738.991935,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_catalog,pg_tablespace,2,4,3093,3093,0,0,0,0,0,0,741,2354,1509,4731,0,0,0,0
1653527738.991935,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527738.991935,pg_catalog,pg_depend,0,0,9367,10162,1829,0,1714,0,8929,1714,1252,10824,1837,25612,,,,
1653527738.991935,pg_catalog,pg_db_role_setting,0,0,24300,0,0,0,0,0,0,0,0,0,562,48038,0,0,0,0
1653527738.991935,public,supplier,11,600000,24772,24657,100000,0,0,0,100000,0,12331,46220,1156,49447,0,0,1,0
1653527738.991935,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527738.991935,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527738.991935,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
