ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1653667915.539321,,0,0,0,13950,217180,59172,54088,1,0,0
1653667915.539321,postgres,0,279,14,3836,44782,174421,20283,0,0,0
1653667915.539321,dbt3,8,19446,36,1135140869,1317972711,28191660653,1102690377,664181434,4178,1007508
1653667915.539321,template1,0,0,0,0,0,0,0,0,0,0
1653667915.539321,template0,0,0,0,0,0,0,0,0,0,0
1653667975.541692,,0,0,0,13950,217590,59319,54171,1,0,0
1653667975.541692,postgres,0,281,14,3845,44856,175662,20297,0,0,0
1653667975.541692,dbt3,9,19496,36,1135184160,1318111024,28191672840,1102697758,666281446,4257,1007509
1653667975.541692,template1,0,0,0,0,0,0,0,0,0,0
1653667975.541692,template0,0,0,0,0,0,0,0,0,0,0
1653668035.562076,,0,0,0,13950,217904,59400,54242,1,0,0
1653668035.562076,postgres,0,283,14,3859,45109,176983,20391,0,0,0
1653668035.562076,dbt3,11,19524,36,1135394720,1318898126,28191678149,1102699898,675781446,4257,1007509
1653668035.562076,template1,0,0,0,0,0,0,0,0,0,0
1653668035.562076,template0,0,0,0,0,0,0,0,0,0,0
1653668095.582332,,0,0,0,13950,218185,59489,54307,1,0,0
1653668095.582332,postgres,0,285,14,3859,45192,178224,20405,0,0,0
1653668095.582332,dbt3,10,19546,36,1135662875,1319715745,28191684273,1102702446,690781446,4257,1007509
1653668095.582332,template1,0,0,0,0,0,0,0,0,0,0
1653668095.582332,template0,0,0,0,0,0,0,0,0,0,0
1653668155.558050,,0,0,0,13950,218422,59576,54362,1,0,0
1653668155.558050,postgres,0,287,14,3859,45275,179465,20419,0,0,0
1653668155.558050,dbt3,8,19573,36,1136004294,1319971750,28191692100,1102704605,690781474,4257,1007509
1653668155.558050,template1,0,0,0,0,0,0,0,0,0,0
1653668155.558050,template0,0,0,0,0,0,0,0,0,0,0
1653668215.581653,,0,0,0,13950,218600,59651,54405,1,0,0
1653668215.581653,postgres,0,289,14,3859,45358,180706,20433,0,0,0
1653668215.581653,dbt3,10,19590,36,1136298530,1320248378,28191701012,1102707016,690781485,4257,1007509
1653668215.581653,template1,0,0,0,0,0,0,0,0,0,0
1653668215.581653,template0,0,0,0,0,0,0,0,0,0,0
1653668275.608417,,0,0,0,13950,219833,59992,54690,1,0,0
1653668275.608417,postgres,0,291,14,3859,45441,181947,20447,0,0,0
1653668275.608417,dbt3,21,19694,37,1137949840,1323905306,28213974657,1102713730,750767650,4267,1007516
1653668275.608417,template1,0,0,0,0,0,0,0,0,0,0
1653668275.608417,template0,0,0,0,0,0,0,0,0,0,0
1653668335.608570,,0,0,0,13950,220338,60141,54811,1,0,0
1653668335.608570,postgres,0,293,14,3859,45524,183188,20461,0,0,0
1653668335.608570,dbt3,14,19761,37,1139391887,1323924135,28285530207,1102720618,750767724,4302,1007529
1653668335.608570,template1,0,0,0,0,0,0,0,0,0,0
1653668335.608570,template0,0,0,0,0,0,0,0,0,0,0
1653668395.630952,,0,0,0,13950,220599,60230,54872,1,0,0
1653668395.630952,postgres,0,295,14,3859,45607,184429,20475,0,0,0
1653668395.630952,dbt3,6,19786,37,1145059493,1324022651,28584740678,1102723880,750767744,4302,1007529
1653668395.630952,template1,0,0,0,0,0,0,0,0,0,0
1653668395.630952,template0,0,0,0,0,0,0,0,0,0,0
1653668455.610843,,0,0,0,13950,220766,60297,54911,1,0,0
1653668455.610843,postgres,0,297,14,3859,45690,185670,20489,0,0,0
1653668455.610843,dbt3,3,19805,37,1149634122,1324087788,28825422385,1102728063,750767788,4303,1007531
1653668455.610843,template1,0,0,0,0,0,0,0,0,0,0
1653668455.610843,template0,0,0,0,0,0,0,0,0,0,0
