ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1654125746.926584,0,,0,0,0,7183,145437,39586,35488,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654125746.926584,14699,postgres,0,207,11,2869,35386,129537,16209,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654125746.926584,16384,dbt3,1,15867,77,626940222,613714335,18019133191,430121671,486176642,2957,444658,0,56516,169188202841,0,,,0,0,27687266.381,27808198.543,3795.231,4870,0,0,3,2022-05-31 22:46:51.108916+00
1654125746.926584,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125746.926584,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125806.943102,0,,0,0,0,7260,146209,39815,35689,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654125806.943102,14699,postgres,0,209,11,2938,36718,131508,16874,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654125806.943102,16384,dbt3,6,15978,77,637211097,629735710,18160574020,435534498,486251266,2964,444658,0,56901,169832544601,0,,,0,0,27733716.562,27854964.03,3802.656,4896,0,0,3,2022-05-31 22:46:51.108916+00
1654125806.943102,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125806.943102,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125866.944898,0,,0,0,0,7323,146826,40004,35850,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654125866.944898,14699,postgres,0,211,11,2970,36769,132749,16888,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654125866.944898,16384,dbt3,5,16055,77,652951572,642446846,18430423752,451261821,486251270,2968,444658,0,57159,171328535468,0,,,0,0,27799561.788,27921424.799,3804.109,4914,0,0,3,2022-05-31 22:46:51.108916+00
1654125866.944898,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125866.944898,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125926.947719,0,,0,0,0,7384,147942,40328,36130,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2022-05-31 22:46:51.050901+00
1654125926.947719,14699,postgres,0,213,11,3002,36820,133990,16902,0,0,0,0,0,0,0,,,0,0,162.302,82.7,0,12,0,0,0,2022-05-31 22:46:51.050883+00
1654125926.947719,16384,dbt3,6,16191,77,658866890,645394191,18711187640,452474447,486251292,2983,444673,0,57436,173625310124,0,,,0,0,27860150.236,27982176.421,3887.231,4941,0,0,3,2022-05-31 22:46:51.108916+00
1654125926.947719,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1654125926.947719,14698,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
